Date,Open,High,Low,Close,Adj. Close,Change,Volume
8-Jul-25,159.33,160.22,158.39,160,160,1.11%,"138,133,025"
7-Jul-25,158.2,159.31,157.34,158.24,158.24,-0.69%,"140,138,975"
3-Jul-25,158.37,160.98,157.77,159.34,159.34,1.33%,"143,716,055"
2-Jul-25,152.98,157.6,152.97,157.25,157.25,2.58%,"171,224,111"
1-Jul-25,156.29,157.2,151.49,153.3,153.3,-2.97%,"213,143,621"
30-Jun-25,158.4,158.66,155.96,157.99,157.99,0.15%,"194,580,316"
27-Jun-25,156.04,158.71,155.26,157.75,157.75,1.76%,"263,234,539"
26-Jun-25,155.98,156.72,154,155.02,155.02,0.46%,"198,145,746"
25-Jun-25,149.27,154.45,149.26,154.31,154.31,4.33%,"269,146,471"
24-Jun-25,145.56,147.96,145.5,147.9,147.9,2.59%,"187,566,121"
23-Jun-25,142.5,144.78,142.03,144.17,144.17,0.22%,"154,308,941"
20-Jun-25,145.45,146.2,142.65,143.85,143.85,-1.12%,"242,956,157"
18-Jun-25,144.01,145.65,143.12,145.48,145.48,0.94%,"161,494,121"
17-Jun-25,144.49,145.22,143.78,144.12,144.12,-0.39%,"139,108,000"
16-Jun-25,143.35,146.18,143.2,144.69,144.69,1.92%,"183,133,666"
13-Jun-25,142.48,143.58,140.86,141.97,141.97,-2.09%,"180,820,565"
12-Jun-25,141.97,145,141.85,145,145,1.52%,"162,364,991"
11-Jun-25,144.61,144.99,141.87,142.83,142.83,-0.78%,"167,694,044"
10-Jun-25,142.69,144.29,141.53,143.96,143.95,0.93%,"155,881,897"
9-Jun-25,143.19,145,141.94,142.63,142.62,0.64%,"185,114,494"
6-Jun-25,142.51,143.27,141.51,141.72,141.71,1.24%,"153,986,153"
5-Jun-25,142.17,144,138.83,139.99,139.98,-1.36%,"232,410,759"
4-Jun-25,142.19,142.39,139.55,141.92,141.91,0.50%,"167,120,819"
3-Jun-25,138.78,142,137.95,141.22,141.21,2.80%,"225,578,783"
2-Jun-25,135.49,138.12,135.4,137.38,137.37,1.67%,"197,663,116"
30-May-25,138.72,139.62,132.92,135.13,135.12,-2.92%,"333,170,851"
29-May-25,142.25,143.49,137.91,139.19,139.18,3.25%,"370,615,167"
28-May-25,136.03,137.25,134.79,134.81,134.8,-0.51%,"304,021,146"
27-May-25,134.15,135.66,133.31,135.5,135.49,3.21%,"192,953,613"
23-May-25,130,132.68,129.16,131.29,131.28,-1.16%,"198,821,324"
22-May-25,132.23,134.25,131.55,132.83,132.82,0.78%,"187,343,954"
21-May-25,133.06,137.4,130.59,131.8,131.79,-1.92%,"270,608,738"
20-May-25,134.29,134.58,132.62,134.38,134.37,-0.88%,"161,514,247"
19-May-25,132.39,135.87,132.39,135.57,135.56,0.13%,"193,154,571"
16-May-25,136.22,136.35,133.46,135.4,135.39,0.42%,"226,542,451"
15-May-25,134.3,136.3,132.66,134.83,134.82,-0.38%,"226,632,563"
14-May-25,133.2,135.44,131.68,135.34,135.33,4.16%,"281,180,830"
13-May-25,124.98,131.22,124.47,129.93,129.92,5.63%,"330,430,105"
12-May-25,121.97,123,120.28,123,122.99,5.44%,"225,023,345"
9-May-25,117.35,118.23,115.21,116.65,116.64,-0.61%,"132,972,189"
8-May-25,118.25,118.68,115.85,117.37,117.36,0.26%,"198,428,122"
7-May-25,113.05,117.68,112.28,117.06,117.05,3.10%,"207,827,821"
6-May-25,111.48,114.74,110.82,113.54,113.53,-0.25%,"158,525,621"
5-May-25,112.91,114.67,112.66,113.82,113.81,-0.59%,"133,163,241"
2-May-25,114.18,115.4,113.37,114.5,114.49,2.59%,"190,194,778"
1-May-25,113.08,114.94,111.3,111.61,111.6,2.47%,"236,121,507"
30-Apr-25,104.47,108.92,104.08,108.92,108.91,-0.09%,"235,044,611"
29-Apr-25,107.67,110.2,107.44,109.02,109.01,0.27%,"170,444,263"
28-Apr-25,109.69,110.37,106.02,108.73,108.72,-2.05%,"207,708,479"
25-Apr-25,106.85,111.92,105.73,111.01,111,4.30%,"251,064,672"
24-Apr-25,103.48,106.54,103.11,106.43,106.42,3.62%,"220,815,041"
23-Apr-25,104.52,104.8,102.02,102.71,102.7,3.86%,"247,525,971"
22-Apr-25,98.78,99.81,97.28,98.89,98.88,2.04%,"241,004,784"
21-Apr-25,98.77,99.44,95.04,96.91,96.9,-4.51%,"288,501,136"
17-Apr-25,104.45,104.47,100.05,101.49,101.48,-2.87%,"292,517,465"
16-Apr-25,104.55,106.79,100.45,104.49,104.48,-6.87%,"397,016,870"
15-Apr-25,110.97,113.62,110.5,112.2,112.19,1.35%,"228,966,900"
14-Apr-25,114.11,114.29,109.07,110.71,110.7,-0.20%,"264,705,049"
11-Apr-25,108.5,111.55,107.48,110.93,110.92,3.12%,"313,417,265"
10-Apr-25,109.37,110.86,99.15,107.57,107.56,-5.91%,"437,812,353"
9-Apr-25,98.89,115.1,97.53,114.33,114.32,18.72%,"612,918,336"
8-Apr-25,103.81,105.85,94.46,96.3,96.29,-1.37%,"476,243,392"
7-Apr-25,87.46,101.75,86.62,97.64,97.63,3.53%,"611,041,347"
4-Apr-25,98.91,100.13,92.11,94.31,94.3,-7.36%,"532,273,810"
3-Apr-25,103.51,105.63,101.6,101.8,101.79,-7.81%,"338,769,412"
2-Apr-25,107.29,111.98,106.79,110.42,110.41,0.25%,"220,601,243"
1-Apr-25,108.52,110.2,106.47,110.15,110.14,1.63%,"222,614,034"
31-Mar-25,105.13,110.96,103.65,108.38,108.37,-1.18%,"299,212,653"
28-Mar-25,111.49,112.87,109.07,109.67,109.66,-1.58%,"229,872,549"
27-Mar-25,111.35,114.45,110.66,111.43,111.42,-2.05%,"236,902,055"
26-Mar-25,118.73,118.84,112.71,113.76,113.75,-5.74%,"296,431,667"
25-Mar-25,120.55,121.29,118.92,120.69,120.68,-0.59%,"167,447,198"
24-Mar-25,119.88,122.22,119.34,121.41,121.4,3.15%,"228,452,534"
21-Mar-25,116.94,117.99,115.42,117.7,117.69,-0.70%,"266,498,528"
20-Mar-25,116.55,120.2,116.47,118.53,118.52,0.86%,"248,829,749"
19-Mar-25,117.27,120.45,115.68,117.52,117.51,1.81%,"273,426,225"
18-Mar-25,118,119.02,114.54,115.43,115.42,-3.43%,"299,686,944"
17-Mar-25,122.74,122.89,118.03,119.53,119.52,-1.76%,"255,501,481"
14-Mar-25,118.61,121.88,118.15,121.67,121.66,5.27%,"277,593,455"
13-Mar-25,117.03,117.76,113.79,115.58,115.57,-0.14%,"299,033,131"
12-Mar-25,114.12,116.76,112.88,115.74,115.73,6.42%,"323,857,454"
11-Mar-25,106.99,112.24,104.77,108.76,108.74,1.66%,"354,865,692"
10-Mar-25,109.9,111.85,105.46,106.98,106.96,-5.07%,"361,107,562"
7-Mar-25,111.25,113.48,107.56,112.69,112.67,1.92%,"341,755,468"
