Date,Open,High,Low,Close,Adj. Close,Change,Volume
24-Jul-25,"1,177.80","1,183.50","1,162.66","1,180.76","1,180.76",0.34%,"3,845,570"
23-Jul-25,"1,189.81","1,192.62","1,173.60","1,176.78","1,176.78",-1.12%,"4,504,264"
22-Jul-25,"1,230.38","1,232.37","1,187.50","1,190.08","1,190.08",-3.50%,"5,062,970"
21-Jul-25,"1,206.00","1,237.10","1,198.00","1,233.27","1,233.27",1.99%,"5,627,591"
18-Jul-25,"1,241.96","1,246.50","1,201.01","1,209.24","1,209.24",-5.10%,"10,693,306"
17-Jul-25,"1,253.00","1,277.50","1,244.80","1,274.17","1,274.17",1.91%,"6,469,877"
16-Jul-25,"1,261.71","1,271.00","1,249.82","1,250.31","1,250.31",-0.79%,"3,227,022"
15-Jul-25,"1,262.00","1,271.22","1,243.25","1,260.27","1,260.27",-0.13%,"2,801,731"
14-Jul-25,"1,244.91","1,270.49","1,240.00","1,261.95","1,261.95",1.35%,"2,781,048"
11-Jul-25,"1,259.79","1,261.00","1,231.30","1,245.11","1,245.11",-0.44%,"3,957,150"
10-Jul-25,"1,285.50","1,289.60","1,246.01","1,250.59","1,250.59",-2.93%,"4,236,494"
9-Jul-25,"1,273.99","1,288.29","1,266.24","1,288.28","1,288.28",1.02%,"2,384,477"
8-Jul-25,"1,290.90","1,293.25","1,260.00","1,275.31","1,275.31",-1.11%,"3,292,525"
7-Jul-25,"1,295.00","1,295.00","1,276.02","1,289.62","1,289.62",-0.58%,"2,273,737"
3-Jul-25,"1,292.00","1,302.26","1,279.76","1,297.18","1,297.18",0.96%,"2,006,224"
2-Jul-25,"1,296.96","1,299.95","1,271.59","1,284.86","1,284.86",-0.68%,"3,048,801"
1-Jul-25,"1,338.23","1,338.77","1,282.22","1,293.60","1,293.60",-3.40%,"4,993,567"
30-Jun-25,"1,331.00","1,341.15","1,321.21","1,339.13","1,339.13",1.21%,"3,282,908"
27-Jun-25,"1,306.88","1,331.35","1,301.00","1,323.12","1,323.12",1.26%,"4,070,857"
26-Jun-25,"1,280.00","1,307.34","1,280.00","1,306.67","1,306.67",2.46%,"2,605,870"
